id,marital,sex,head,earnmost,edbg,workstatus,occ,owner,ind,size,employed,regular,empsinceyear,empsincemonth,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
1,1,1,1,1,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,73
2,1,2,0,0,6,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,31
3,1,2,1,1,2,3,3,2,6,2,5,5,1990,2,1,1,70,888888,888888,88888,0,17,24,999,2009,58
4,1,1,1,1,5,1,10,2,4,5,5,1,1997,4,3,1,443,888888,888888,88888,103,24,65,25,2009,36
5,1,1,1,1,4,1,10,4,15,3,5,1,2003,4,2,1,400,888888,888888,88888,100,27,66,999,2009,43
6,1,1,1,1,4,1,10,2,5,5,5,1,1979,4,2,1,550,888888,888888,88888,300,22,60,20,2009,51
7,1,1,1,1,2,1,6,2,6,4,5,2,1968,10,2,1,490,888888,888888,88888,200,25,999,999,2009,61
8,1,2,0,0,3,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,33
9,1,2,0,0,6,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,73
10,1,1,1,1,4,3,10,1,16,1,2,8,1981,8,5,1,400,888888,888888,88888,0,29,70,999,2009,62
11,1,2,0,0,2,3,3,2,6,4,5,5,1999,6,2,4,88888,888888,900,88888,0,14,24,999,2009,36
12,1,2,0,0,3,3,3,2,6,2,5,5,2006,11,1,4,88888,888888,750,88888,0,23,23,0,2009,58
13,1,1,1,1,2,1,3,1,6,1,1,8,1992,3,1,1,250,888888,888888,88888,0,25,10,999,2009,46
14,1,1,1,1,2,1,7,9,5,4,5,5,9999,99,1,4,88888,888888,850,88888,0,23,13,5,2009,44
15,1,1,1,1,4,1,3,2,6,5,5,1,1976,4,3,1,443,888888,888888,88888,100,22,40,0,2009,54
16,1,2,0,0,2,1,4,1,16,1,3,8,2005,9,1,1,80,888888,888888,88888,0,25,999,999,2009,34
17,1,2,0,0,3,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,43
18,1,2,0,0,1,3,6,1,9,1,3,8,2006,7,5,1,85,888888,888888,88888,0,25,42,999,2009,60
19,1,1,1,1,3,1,8,1,4,1,1,8,1995,11,1,1,350,888888,888888,88888,0,26,60,999,2009,37
20,1,1,1,1,2,1,3,1,6,1,1,8,1983,99,1,1,250,888888,888888,88888,0,5,52,999,2009,54
21,1,1,1,1,1,1,8,1,4,1,1,8,9999,99,1,1,400,888888,888888,88888,0,22,40,999,2009,69
22,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,34
23,1,2,0,0,3,1,8,1,5,1,3,8,1982,4,1,1,100,888888,888888,88888,60,22,8,999,2009,53
24,1,2,0,0,3,1,6,3,14,5,5,2,1991,7,1,1,315,888888,888888,88888,20,20,40,0,2009,61
25,1,1,1,1,1,4,8,1,4,2,6,8,2006,2,1,9,88888,888888,888888,88888,0,20,40,999,2009,38
26,1,1,1,1,4,1,10,1,5,1,4,8,2009,3,5,1,455,888888,888888,88888,180,12,22,999,2009,62
27,1,2,0,0,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,38
28,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,54
29,1,2,0,0,2,1,8,3,5,5,6,8,2008,9,5,4,88888,888888,750,88888,0,17,30,999,2009,66
30,1,1,1,1,1,1,7,2,10,2,5,1,2007,6,1,1,310,888888,888888,88888,0,26,78,0,2009,30
31,1,1,1,1,2,1,5,2,5,3,5,3,1967,4,1,1,885,888888,888888,88888,0,22,66,26,2009,66
32,1,2,0,0,1,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,52
33,1,1,1,1,4,1,8,1,4,1,6,8,1989,4,5,5,88888,888888,888888,246,0,25,72,999,2009,57
34,1,1,1,1,4,3,7,3,14,2,6,8,2006,8,5,3,88888,7200,888888,88888,0,12,21,0,2009,63
35,1,2,0,0,4,3,6,1,6,1,3,8,9999,99,9,9,88888,888888,888888,88888,99999,99,999,999,2009,40
36,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,61
37,1,1,1,1,6,1,4,1,16,1,1,8,1988,3,5,9,88888,888888,888888,88888,0,24,50,999,2009,48
38,1,1,1,1,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,71
