id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,workdaypermonth,workhourperweek,overworkperweek,paidoverworkperweek,year,age
2,2,2,1,1,1,4,2,7,3,5,5,2,4,88888,888888,800,88888,16,16,0,0,2014,36
3,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,63
4,1,1,1,1,1,10,2,4,5,5,1,3,1,470,888888,888888,88888,24,50,12,0,2014,41
5,1,1,1,1,1,10,4,15,3,5,1,2,1,470,888888,888888,88888,28,60,20,0,2014,48
6,1,1,1,1,1,10,2,5,5,5,2,2,1,676,888888,888888,88888,20,50,999,999,2014,56
7,1,1,1,1,1,4,2,6,4,6,8,1,4,88888,888888,780,88888,18,20,0,0,2014,66
8,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,38
10,1,1,1,1,1,10,1,16,1,2,8,5,1,700,888888,888888,88888,99,999,999,999,2014,67
11,1,2,0,0,3,6,2,16,4,5,5,1,4,88888,888888,810,88888,20,6,0,999,2014,41
12,1,2,0,0,3,3,2,6,3,5,5,1,4,88888,888888,800,88888,23,20,999,999,2014,63
13,1,1,1,1,1,3,1,6,1,1,8,1,5,88888,888888,888888,350,30,10,999,999,2014,51
14,1,1,0,0,1,7,3,10,5,5,1,3,1,230,888888,888888,88888,24,140,9,0,2014,49
15,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,59
16,1,2,0,0,3,8,2,10,5,5,5,9,4,88888,888888,900,88888,24,16,0,0,2014,39
17,1,2,0,0,3,10,1,15,2,5,5,5,4,88888,888888,1000,88888,8,3,0,0,2014,48
19,1,1,1,1,1,8,1,99,1,1,8,1,1,280,888888,888888,88888,28,42,0,0,2014,42
20,1,1,1,1,1,3,1,6,1,1,8,1,5,88888,888888,888888,200,25,999,999,999,2014,59
22,1,2,0,0,3,1,1,1,2,5,5,1,4,88888,888888,790,88888,5,17,999,999,2014,39
23,1,2,0,0,1,8,1,5,1,3,8,5,1,100,888888,888888,88888,20,40,999,999,2014,58
24,1,2,0,0,3,4,2,16,2,5,5,1,4,88888,888888,850,88888,12,24,0,0,2014,66
25,1,1,1,1,1,8,1,4,2,1,8,5,5,88888,888888,888888,360,25,48,0,0,2014,43
26,1,1,1,1,1,10,2,6,4,5,4,1,4,88888,888888,1710,88888,15,30,0,0,2014,67
27,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,43
29,1,2,0,0,1,8,3,16,2,6,8,1,4,88888,888888,400,88888,14,28,999,999,2014,71
31,1,1,1,1,1,3,2,5,3,5,4,1,1,300,888888,888888,88888,20,40,3,0,2014,71
33,2,1,1,1,4,8,1,4,1,1,8,5,5,88888,888888,888888,200,7,10,999,999,2014,62
34,1,1,1,1,1,7,3,14,2,5,4,1,4,88888,888888,820,88888,12,21,0,0,2014,68
35,1,2,0,0,3,4,2,6,5,5,5,1,4,88888,888888,820,88888,17,18,0,0,2014,45
38,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,76
39,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,48
41,1,1,1,1,1,7,2,10,5,5,2,3,1,500,888888,888888,88888,20,50,10,10,2014,32
42,1,1,1,1,1,7,2,10,5,5,1,3,1,350,888888,888888,88888,20,60,20,0,2014,44
43,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,74
44,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,33
45,1,2,0,0,3,6,2,8,5,5,6,5,4,88888,888888,1200,88888,8,18,0,0,2014,47
46,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,66
47,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,73
48,1,2,1,1,1,10,1,14,2,5,5,1,4,88888,888888,1600,88888,5,30,10,0,2014,40
50,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,71
52,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,43
55,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,64
56,1,1,1,0,1,11,3,16,4,6,8,1,1,38,888888,888888,88888,13,10,999,999,2014,75
57,1,2,0,0,1,6,1,14,1,3,8,1,1,160,888888,888888,88888,23,40,0,0,2014,49
58,1,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,70
59,1,1,1,1,1,5,2,10,5,5,2,2,1,760,888888,888888,88888,20,40,0,0,2014,55
60,1,1,1,1,1,7,2,10,5,5,1,3,1,400,888888,888888,88888,22,40,0,0,2014,54
62,1,2,0,0,1,4,9,7,3,5,5,9,4,88888,888888,840,88888,20,30,0,0,2014,45
