id,marital,sex,earnmost,workstatus,owner,ind,size,employed,regular,occ,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,head,year,age
20001,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,41
20002,1,1,1,1,2,10,5,5,1,7,3,9,88888,888888,888888,88888,620,20,51,999,1,2005,42
20003,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,39
20004,1,2,0,3,3,16,3,5,5,4,1,1,80,888888,888888,88888,2,21,20,999,0,2005,64
20005,1,2,0,3,2,16,5,5,5,4,1,4,88888,888888,750,88888,0,20,25,999,0,2005,36
20006,1,1,1,1,2,16,5,5,1,11,3,1,350,888888,888888,88888,98,25,24,0,1,2005,47
20007,1,2,0,3,1,18,9,2,8,10,1,1,99999,888888,888888,88888,100,3,7,999,0,2005,32
20008,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,70
20009,1,1,1,1,2,5,5,5,1,6,3,1,300,888888,888888,88888,100,20,37,0,1,2005,34
20010,1,2,0,3,2,16,3,5,6,12,1,1,50,888888,888888,88888,0,10,20,0,0,2005,54
20011,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,64
20013,2,1,0,1,1,4,2,5,1,8,1,1,350,888888,888888,88888,0,23,45,2,0,2005,35
20014,2,2,1,2,2,7,4,5,5,4,5,4,88888,888888,1030,88888,0,14,15,999,1,2005,21
20015,1,1,1,1,2,11,5,5,2,9,3,1,500,888888,888888,88888,300,20,97,15,1,2005,31
20016,2,1,1,1,2,5,4,5,6,10,1,1,300,888888,888888,88888,0,22,55,15,1,2005,40
20017,1,1,1,1,1,13,1,6,8,8,1,3,88888,15000,888888,88888,0,10,32,999,1,2005,65
20018,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,61
20020,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,63
20022,2,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,66
20023,1,2,1,1,3,18,4,5,1,99,3,1,300,888888,888888,88888,35,20,48,13,1,2005,26
20024,1,2,0,3,2,5,4,5,5,6,9,9,88888,888888,888888,88888,99999,99,999,999,0,2005,46
20025,2,2,0,1,2,4,5,5,1,8,3,1,195,888888,888888,88888,99999,20,40,0,0,2005,27
20026,2,2,1,1,1,6,1,1,8,3,1,9,88888,888888,888888,88888,0,25,40,0,1,2005,58
20027,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,63
20028,1,2,0,1,2,5,4,5,5,6,1,1,197,888888,888888,88888,2,20,40,8,0,2005,54
20029,1,2,0,3,2,11,4,4,8,12,2,4,88888,888888,850,88888,0,18,16,0,0,2005,41
20030,2,1,0,1,1,16,1,6,8,12,2,9,88888,888888,888888,88888,0,29,21,999,0,2005,31
20031,2,2,1,1,3,4,1,5,1,6,1,1,140,888888,888888,88888,42,20,7,0,1,2005,67
20032,1,2,0,1,1,16,1,3,8,4,1,1,120,888888,888888,88888,0,20,55,4,0,2005,36
20033,2,1,0,5,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,25
20034,2,2,1,1,2,16,4,5,1,4,3,9,88888,888888,888888,88888,0,99,999,999,1,2005,32
20035,2,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,57
20036,1,1,1,5,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,68
20037,1,1,1,1,1,1,2,1,8,1,1,1,225,888888,888888,88888,25,25,999,999,1,2005,26
20038,1,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,69
20039,2,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,34
20040,2,2,0,2,2,16,3,5,5,4,1,4,88888,888888,820,88888,0,8,10,0,0,2005,24
20041,1,1,1,3,3,15,9,6,8,6,1,3,88888,18000,888888,88888,0,4,8,0,1,2005,67
20042,1,2,0,3,4,16,6,6,8,10,5,4,88888,888888,830,88888,0,2,999,999,0,2005,38
20043,1,2,0,1,1,16,1,1,8,4,5,1,50,888888,888888,88888,0,99,30,999,0,2005,61
20044,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,60
20045,2,1,1,1,1,18,2,6,8,10,5,1,60,888888,888888,88888,0,6,10,999,1,2005,45
20046,2,1,1,1,2,10,4,5,1,7,3,1,330,888888,888888,88888,62,24,66,999,1,2005,55
20047,2,1,1,2,2,11,5,5,6,6,1,3,88888,13000,888888,88888,0,9,16,2,1,2005,21
20048,1,1,1,1,2,5,5,5,1,8,1,1,280,888888,888888,88888,60,20,48,8,1,2005,37
20051,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,64
20052,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,66
20053,2,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,67
20054,1,1,1,1,2,6,1,5,4,10,1,1,750,888888,888888,88888,0,20,45,999,1,2005,63
20055,1,1,1,1,4,14,6,5,2,5,5,1,500,888888,888888,88888,200,22,55,15,1,2005,55
20056,2,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,22
20057,2,1,0,1,2,5,4,5,2,3,2,1,450,888888,888888,88888,200,22,40,999,0,2005,36
20058,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,63
20059,1,1,1,1,2,4,4,5,2,10,2,1,500,888888,888888,88888,240,20,40,0,1,2005,58
20060,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,58
20061,1,2,0,1,2,8,5,5,1,3,1,1,160,888888,888888,88888,26,20,40,0,0,2005,43
20065,1,1,1,1,1,10,2,5,9,7,1,1,600,888888,888888,88888,0,26,80,0,1,2005,53
20068,1,1,1,1,2,16,2,5,1,8,1,1,400,888888,888888,88888,120,28,84,30,1,2005,31
20070,2,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,69
20071,1,1,1,1,2,6,5,5,2,6,1,1,308,888888,888888,88888,100,20,10,0,1,2005,36
20073,2,2,0,1,1,5,2,5,7,10,1,9,88888,888888,888888,88888,0,20,40,999,0,2005,30
20074,1,1,1,1,4,17,6,5,2,11,1,1,400,888888,888888,88888,200,99,999,0,1,2005,55
20075,1,1,1,1,1,16,2,5,5,4,1,4,88888,888888,850,88888,0,20,18,0,1,2005,66
20076,1,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,32
20077,1,1,1,1,1,6,1,1,8,3,5,1,600,888888,888888,88888,80,25,40,999,1,2005,46
20079,1,2,1,1,3,14,4,5,1,10,2,1,310,888888,888888,88888,170,22,42,1,1,2005,46
20080,1,1,1,1,2,5,4,5,3,5,1,1,1400,888888,888888,88888,520,21,50,10,1,2005,60
20081,2,1,0,1,2,13,4,5,1,10,1,1,250,888888,888888,88888,15,14,48,999,0,2005,25
20082,2,1,0,1,1,13,2,5,1,8,3,1,214,888888,888888,88888,43,24,50,0,0,2005,25
20083,1,1,0,1,2,5,2,5,1,8,1,1,240,888888,888888,88888,41,21,48,0,0,2005,47
20085,1,1,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,70
20086,1,1,1,1,2,5,4,5,4,8,1,4,88888,888888,1100,88888,0,22,35,0,1,2005,52
20087,2,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,58
20088,1,1,1,1,1,4,1,1,8,8,5,3,88888,18000,888888,88888,0,25,80,20,1,2005,38
20089,1,1,1,1,2,12,4,5,7,9,2,1,350,888888,888888,88888,100,24,40,0,1,2005,62
20090,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,60
20092,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,42
20093,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,30
20094,1,2,0,1,2,5,3,5,5,6,1,4,88888,888888,900,88888,0,20,40,0,0,2005,43
20095,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,60
20096,1,1,1,1,2,4,4,5,1,8,1,1,181,888888,888888,88888,40,20,48,5,1,2005,27
20097,1,1,1,1,2,11,5,5,2,99,1,1,457,888888,888888,88888,120,22,130,15,1,2005,42
20098,2,1,0,1,4,17,6,5,1,10,3,1,300,888888,888888,88888,90,21,45,5,0,2005,29
20099,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,64
20100,1,2,0,1,2,6,4,5,5,6,1,4,88888,888888,900,88888,9,16,24,0,0,2005,45
20101,1,1,1,1,2,5,4,5,1,10,3,1,300,888888,888888,88888,140,22,50,10,1,2005,34
20102,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,56
20103,2,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,21
20104,2,2,0,1,2,16,3,5,6,4,1,3,88888,15000,888888,88888,0,15,40,0,0,2005,30
20105,2,2,0,1,2,7,4,5,5,4,1,1,150,888888,888888,88888,99999,25,40,999,0,2005,21
20106,1,2,0,3,2,6,5,5,5,99,1,4,88888,888888,870,88888,0,20,22,999,0,2005,33
20108,1,1,1,1,2,10,5,5,1,7,3,1,420,888888,888888,88888,96,22,45,5,1,2005,41
20109,1,2,0,3,1,5,2,3,8,6,5,1,85,888888,888888,88888,0,20,50,999,0,2005,62
20110,1,2,0,3,1,15,1,4,8,10,5,1,30,888888,888888,88888,0,3,8,999,0,2005,55
20111,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,47
20112,2,1,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,33
20113,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,59
20114,1,1,1,1,2,4,5,5,1,10,2,5,88888,888888,888888,800,200,22,45,7,1,2005,48
20115,1,2,0,1,2,16,4,5,5,4,5,1,70,888888,888888,88888,2,15,20,0,0,2005,48
20117,1,1,1,1,2,6,5,5,3,3,1,1,450,888888,888888,88888,60,25,60,20,1,2005,37
20118,2,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,65
20119,1,2,0,3,2,8,5,5,4,6,2,4,88888,888888,1200,88888,5,20,30,0,0,2005,46
20120,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,30
20122,1,2,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,65
20124,1,2,0,3,1,7,2,3,8,4,5,1,200,888888,888888,88888,0,25,72,999,0,2005,60
20126,1,2,0,1,1,6,2,1,8,3,5,1,250,888888,888888,88888,0,30,999,999,0,2005,64
20127,1,2,0,1,4,15,6,5,5,4,2,4,88888,888888,900,88888,0,20,29,0,0,2005,44
20128,1,1,1,1,2,9,2,5,1,10,1,1,150,888888,888888,88888,0,24,40,0,1,2005,63
20129,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,61
20130,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,60
20131,1,1,1,1,2,15,3,5,1,12,3,1,390,888888,888888,88888,0,25,60,12,1,2005,47
20132,2,2,0,1,1,16,9,6,8,4,5,1,170,888888,888888,88888,0,20,40,999,0,2005,29
20134,2,1,0,1,2,16,2,5,5,7,1,4,88888,888888,1250,88888,0,20,30,999,0,2005,29
20135,2,1,1,1,2,12,4,5,1,10,3,1,200,888888,888888,88888,50,20,55,20,1,2005,28
20136,1,2,0,3,1,14,2,5,5,99,1,1,60,888888,888888,88888,0,15,4,999,0,2005,40
20137,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,29
20138,1,1,1,1,2,14,5,5,5,4,3,4,88888,888888,1200,88888,0,25,45,999,1,2005,25
20139,1,1,1,1,1,4,9,5,2,8,1,5,88888,888888,888888,800,0,20,40,999,1,2005,40
20141,1,2,0,3,3,14,2,5,9,10,1,1,75,888888,888888,88888,6,20,20,0,0,2005,45
20142,1,1,1,3,3,18,4,6,8,4,1,4,88888,888888,1000,88888,0,10,12,0,1,2005,69
20143,1,2,0,3,3,14,3,5,5,10,1,4,88888,888888,1300,88888,0,25,12,999,0,2005,46
20145,2,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,62
20146,1,2,0,5,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,37
20147,1,1,1,1,1,4,2,5,2,8,1,1,600,888888,888888,88888,100,25,70,999,1,2005,55
20148,1,2,0,1,4,17,6,5,1,6,2,1,490,888888,888888,88888,177,25,55,15,0,2005,47
20149,1,1,1,1,1,3,1,5,4,99,1,3,88888,8000,888888,88888,0,20,40,0,1,2005,56
20150,1,2,0,1,1,16,1,3,8,4,5,9,88888,888888,888888,88888,99999,21,50,999,0,2005,53
20151,1,1,1,1,1,13,1,6,8,8,5,1,350,888888,888888,88888,0,18,37,999,1,2005,49
20152,1,1,0,1,1,6,1,1,8,3,5,1,200,888888,888888,88888,0,30,999,999,0,2005,39
20153,1,2,0,5,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,32
20154,1,2,0,3,2,6,1,5,5,6,1,4,88888,888888,950,88888,19,17,68,0,0,2005,54
20155,1,1,1,1,2,5,4,5,1,8,1,1,350,888888,888888,88888,50,22,45,5,1,2005,29
20156,1,1,1,1,1,6,1,1,8,3,5,5,88888,888888,888888,400,0,24,66,999,1,2005,54
20157,1,1,1,1,2,10,2,5,1,7,1,1,266,888888,888888,88888,3,25,78,24,1,2005,38
20158,2,1,0,2,2,16,5,5,5,99,2,4,88888,888888,920,88888,0,8,13,0,0,2005,21
20159,1,1,1,5,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,66
20160,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,53
20161,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,63
20162,1,1,1,1,1,16,1,2,8,10,5,9,88888,888888,888888,88888,99999,99,999,999,1,2005,46
20163,1,1,1,1,2,6,2,5,1,3,1,1,230,888888,888888,88888,50,25,60,0,1,2005,56
20164,2,2,0,1,3,14,2,5,1,10,1,1,198,888888,888888,88888,70,23,43,0,0,2005,24
20165,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,55
20166,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,62
20167,1,1,1,4,2,4,5,5,7,5,1,1,1120,888888,888888,88888,0,22,999,999,1,2005,68
20168,1,1,1,1,1,16,1,5,1,10,1,1,350,888888,888888,88888,110,20,40,0,1,2005,31
20169,1,1,1,1,2,5,4,5,2,5,1,1,480,888888,888888,88888,150,22,40,999,1,2005,57
20170,1,2,0,1,2,16,4,5,3,6,1,1,900,888888,888888,88888,0,24,36,0,0,2005,57
20171,2,1,1,1,1,8,1,2,8,6,5,1,400,888888,888888,88888,0,20,30,0,1,2005,25
20172,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,68
20173,1,1,1,1,2,8,5,5,4,12,1,1,250,888888,888888,88888,18,12,18,0,1,2005,61
20174,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,64
20175,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,47
20176,1,1,1,1,4,17,6,5,2,11,1,1,400,888888,888888,88888,99999,15,20,999,1,2005,53
20177,1,2,0,1,2,16,5,5,4,4,1,4,88888,888888,830,88888,0,20,35,10,0,2005,56
20178,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,21
20179,2,2,0,4,1,16,1,5,1,4,5,4,88888,888888,840,88888,0,20,30,0,0,2005,24
20180,1,2,0,3,3,14,2,6,8,10,5,5,88888,888888,888888,70,0,15,30,0,0,2005,63
20181,1,2,0,1,2,14,4,5,9,10,2,4,88888,888888,900,88888,99999,20,40,10,0,2005,52
20182,1,1,1,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,1,2005,68
20183,2,1,1,1,1,4,1,5,1,8,1,3,88888,13000,888888,88888,0,20,40,0,1,2005,57
20184,1,1,1,1,2,5,5,5,2,5,2,5,88888,888888,888888,1155,0,20,39,0,1,2005,48
20185,1,1,1,1,1,6,1,1,8,3,1,1,200,888888,888888,88888,0,25,48,0,1,2005,57
20186,1,1,1,1,1,4,1,1,8,8,5,3,88888,20000,888888,88888,0,15,45,0,1,2005,53
20187,1,1,1,1,2,8,5,5,4,7,2,1,300,888888,888888,88888,50,20,40,0,1,2005,56
20188,1,1,1,1,1,5,1,1,8,8,1,1,240,888888,888888,88888,0,25,48,0,1,2005,70
20189,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,52
20191,1,2,0,5,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,31
20192,2,1,0,1,2,6,4,5,2,5,1,1,300,888888,888888,88888,150,20,55,12,0,2005,40
20193,1,2,0,3,1,5,1,5,5,6,1,1,70,888888,888888,88888,0,5,1,999,0,2005,61
20194,2,2,0,1,2,16,4,5,1,4,3,1,200,888888,888888,88888,30,20,40,1,0,2005,25
20195,1,2,0,3,2,11,3,5,5,99,1,4,88888,888888,870,88888,0,20,20,0,0,2005,47
20196,1,2,0,6,8,88,8,8,8,88,8,8,88888,888888,888888,88888,88888,88,888,888,0,2005,44
20197,1,1,1,1,1,9,1,1,8,3,5,9,88888,888888,888888,88888,0,23,9,999,1,2005,57
20198,2,1,0,1,2,12,4,5,1,6,3,1,300,888888,888888,88888,100,20,50,20,0,2005,24
20199,2,2,0,1,2,16,3,5,5,99,1,1,160,888888,888888,88888,0,22,40,0,0,2005,25
20200,1,1,1,1,2,5,5,5,9,12,5,1,1000,888888,888888,88888,0,20,140,999,1,2005,68
20201,1,1,1,1,2,6,3,5,2,99,1,1,260,888888,888888,88888,25,23,70,8,1,2005,33
