id,marital,sex,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,head,year,age
20001,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2008,44
20003,1,2,0,3,10,4,15,2,5,5,2,4,88888,888888,870,88888,0,20,30,0,0,2008,42
20005,1,2,0,3,4,2,16,4,5,5,2,4,88888,888888,800,88888,0,22,7,999,0,2008,39
20007,1,2,0,3,10,3,16,4,6,8,1,9,88888,888888,888888,88888,0,3,999,999,0,2008,35
20008,1,1,1,3,11,2,16,4,5,5,1,3,88888,8000,888888,88888,0,7,999,999,1,2008,73
20009,1,1,1,1,6,2,5,5,5,1,1,1,330,888888,888888,88888,52,20,53,999,1,2008,37
20011,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2008,67
20013,2,1,0,1,8,1,4,1,5,1,1,1,300,888888,888888,88888,0,23,45,5,0,2008,38
20015,1,1,1,1,9,2,11,5,5,2,3,1,650,888888,888888,88888,300,20,50,12,1,2008,34
20017,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2008,68
20018,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2008,64
20022,2,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2008,69
20023,1,2,1,1,6,3,18,5,5,1,3,1,227,888888,888888,88888,94,20,30,0,1,2008,29
20024,1,2,0,1,6,2,5,4,5,5,1,4,88888,888888,940,88888,0,20,22,0,0,2008,49
20026,2,2,1,1,3,1,6,1,1,8,5,1,200,888888,888888,88888,0,28,9,0,1,2008,61
20029,1,2,0,3,6,1,5,1,4,8,1,4,88888,888888,850,88888,0,12,12,999,0,2008,44
20030,2,1,0,1,8,2,16,4,5,5,2,4,88888,888888,1010,88888,4,17,22,8,0,2008,34
20031,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2008,70
20032,1,2,0,1,4,1,16,2,3,8,5,1,100,888888,888888,88888,0,22,53,0,0,2008,39
20033,2,1,0,4,10,1,16,2,5,5,1,1,100,888888,888888,88888,0,10,40,0,0,2008,28
20035,2,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2008,60
