id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
20001,1,2,0,0,3,4,2,14,5,5,5,1,4,88888,888888,1350,88888,2,23,40,0,2013,49
20007,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,40
20008,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,78
20009,1,1,1,1,1,6,2,5,5,5,2,1,1,330,888888,888888,88888,50,99,999,999,2013,42
20011,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,72
20013,2,1,1,1,1,8,1,4,1,5,3,1,1,350,888888,888888,88888,0,6,54,6,2013,43
20015,1,1,1,1,1,9,2,11,5,5,2,2,1,736,888888,888888,88888,344,20,50,12,2013,39
20017,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,73
20018,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,69
20022,2,2,0,0,9,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,74
20023,1,2,1,1,1,6,3,16,5,5,1,3,1,398,888888,888888,88888,88,22,39,4,2013,34
20024,1,2,0,0,3,8,2,5,4,5,5,1,9,88888,888888,888888,88888,99999,99,999,999,2013,54
20026,2,2,1,1,1,3,1,6,1,1,8,5,1,150,888888,888888,88888,0,30,63,999,2013,66
20029,1,2,0,0,3,3,1,9,2,5,5,1,4,88888,888888,800,88888,0,12,63,999,2013,49
20030,2,1,0,0,1,3,2,6,4,5,5,2,4,88888,888888,830,88888,0,26,4,0,2013,39
20031,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2013,75
20032,1,2,0,0,1,4,1,16,1,3,8,5,1,85,888888,888888,88888,0,24,60,5,2013,44
20033,2,1,0,0,4,10,1,16,1,6,8,9,3,88888,10000,888888,88888,0,99,999,999,2013,33
