id,year,emptenure,empten,workexp,expr,schooling,educ,oj,oldjob,size,firmsize,_merge
6,2004,,9,,27,,12,,1,,5,master only (1)
9,2005,0,,15,15,14,14,1,1,5,5,matched (3)
9,2006,1,,16,16,14,14,1,1,5,5,matched (3)
9,2007,2,,17,17,14,14,1,1,5,5,matched (3)
9,2008,3,,18,18,14,14,1,1,5,5,matched (3)
9,2009,4,,19,19,14,14,1,1,5,5,matched (3)
9,2011,6,,21,21,14,14,1,1,4,4,matched (3)
9,2012,7,,22,22,14,14,1,1,5,5,matched (3)
9,2014,9,,24,24,14,14,1,1,5,5,matched (3)
16,2004,0,0,15,15,16,16,1,0,5,5,matched (3)
30,2010,,0,,15,,14,,0,,2,master only (1)
47,2004,0,0,3,3,16,16,1,0,5,5,matched (3)
65,2008,0,0,38,38,12,12,1,0,4,4,matched (3)
68,2004,,10,,12,,12,,1,,4,master only (1)
80,2005,0,,41,41,12,12,1,1,4,4,matched (3)
80,2006,1,,42,42,12,12,1,1,4,4,matched (3)
82,2008,,10,,11,,12,,1,,2,master only (1)
83,2004,,0,,30,,12,,0,,2,master only (1)
86,2004,0,0,26,26,12,12,1,0,5,5,matched (3)
96,2004,0,0,6,6,12,12,1,0,4,4,matched (3)
101,2008,,13,,13,,16,,1,,4,master only (1)
117,2009,,0,,22,,12,,0,,3,master only (1)
138,2004,,,,8,,16,,1,,5,master only (1)
138,2008,,0,,12,,16,,0,,4,master only (1)
157,2004,0,0,19,19,12,12,1,0,2,2,matched (3)
163,2005,0,,38,38,12,12,1,1,2,2,matched (3)
163,2006,1,,39,39,12,12,1,1,4,4,matched (3)
163,2008,3,,41,41,12,12,1,1,3,3,matched (3)
163,2009,3,,41,41,12,12,1,1,4,4,matched (3)
168,2004,0,0,8,8,16,16,1,0,1,1,matched (3)
173,2004,0,0,42,42,12,12,1,0,5,5,matched (3)
183,2006,,3,,40,,14,,1,,1,master only (1)
192,2011,,25,,28,,14,,1,,4,master only (1)
201,2009,0,0,12,12,12,12,1,0,3,3,matched (3)
216,2004,,0,,39,,12,,0,,4,master only (1)
218,2004,0,0,33,33,16,16,1,0,4,4,matched (3)
218,2013,,9,,42,,16,,1,,2,master only (1)
245,2011,0,8,38,38,16,16,1,1,5,5,matched (3)
245,2012,1,9,39,39,16,16,1,1,5,5,matched (3)
275,2004,0,0,14,14,16,16,1,0,3,3,matched (3)
300,2004,,0,,42,,16,,0,,5,master only (1)
300,2005,,1,,43,,16,,1,,5,master only (1)
326,2009,,3,,40,,16,,1,,5,master only (1)
352,2005,0,,26,26,16,16,1,1,5,5,matched (3)
352,2006,1,,27,27,16,16,1,1,5,5,matched (3)
352,2007,2,,28,28,16,16,1,1,5,5,matched (3)
379,2004,0,0,18,18,16,16,1,0,4,4,matched (3)
379,2009,,5,,23,,16,,1,,3,master only (1)
384,2004,,22,,24,,16,,1,,5,master only (1)
391,2004,,16,,19,,16,,1,,5,master only (1)
393,2012,,3,,11,,16,,1,,4,master only (1)
433,2011,,24,,26,,12,,1,,4,master only (1)
453,2004,0,0,13,13,12,12,1,0,4,4,matched (3)
461,2013,2,3,12,12,16,16,1,1,2,2,matched (3)
463,2013,0,0,27,27,12,12,1,0,1,1,matched (3)
469,2006,,6,,18,,16,,1,,4,master only (1)
474,2011,,22,,24,,16,,1,,5,master only (1)
476,2004,0,0,29,29,12,12,1,0,5,5,matched (3)
476,2009,,1,,34,,12,,1,,3,master only (1)
479,2012,,7,,24,,18,,1,,5,master only (1)
513,2013,,20,,25,,12,,1,,1,master only (1)
514,2005,0,,37,37,12,12,1,1,4,4,matched (3)
517,2011,,3,,18,,16,,1,,5,master only (1)
529,2004,0,0,31,31,16,16,1,0,5,5,matched (3)
531,2004,0,0,2,2,18,18,1,0,4,4,matched (3)
531,2011,,0,,8,,18,,0,,4,master only (1)
532,2004,0,0,9,9,12,12,1,0,4,4,matched (3)
532,2005,0,0,9,9,12,12,1,0,2,2,matched (3)
532,2006,0,0,9,9,12,12,1,0,2,2,matched (3)
547,2004,0,0,14,14,16,16,1,0,4,4,matched (3)
555,2004,0,0,5,5,16,16,1,0,5,5,matched (3)
571,2004,0,0,37,37,14,14,1,0,3,3,matched (3)
577,2004,,37,,38,,12,,1,,5,master only (1)
588,2004,0,0,2,2,16,16,1,0,5,5,matched (3)
588,2012,,3,,8,,16,,1,,5,master only (1)
588,2013,,3,,8,,16,,1,,5,master only (1)
603,2004,0,0,44,44,12,12,1,0,5,5,matched (3)
615,2004,,17,,19,,12,,1,,4,master only (1)
616,2005,,15,,25,,12,,1,,2,master only (1)
616,2009,,18,,28,,12,,1,,3,master only (1)
617,2004,0,0,37,37,12,12,1,0,3,3,matched (3)
